-0.00237154,0.0462593,0.0769344,0.0309152,0.0601752,-0.00823114,0.0475559,-0.029786,0.00534362,0.147692,0.0369571,0.0040107,0.00468541,-0.0795814,0.146237,0.0975815,-0.226224,-0.0872943,-0.214562,-0.0730695	0.0162394,-0.0204518,0.0429404,-0.0246163,0.0357794,-0.00118423,-0.0748927,-0.0429325,-0.046325,0.0733678,0.0762687,0.0104649,0.105302,0.00215008,0.181272,0.137533,-0.245922,-0.0508555,0.0500272,0.0163885	-0.0186103,0.066648,0.0341066,0.0554893,0.0244484,-0.00704698,0.122014,0.0131634,0.0516558,0.0751383,-0.0394226,-0.00645452,-0.100666,-0.0817175,-0.0359892,-0.0404947,0.0208586,-0.0366013,-0.261779,-0.0893509
0.228901,0.252759,0.184982,0.244742,0.249928,0.243534,0.356668,0.23409,0.271017,0.306456,0.273768,0.16614,0.0577611,0.0359038,0.256238,0.242371,0.0839743,0.100751,-0.147689,-0.0223988	0.208152,0.227806,0.203755,0.25032,0.210003,0.284088,0.2894,0.20982,0.237686,0.229606,0.230952,0.16614,0.0556028,0.165642,0.190687,0.168769,0.0688748,0.0524721,0.132117,0.000591628	0.0217872,0.0264773,-0.0195087,-0.00594228,0.0421364,-0.0435681,0.0750096,0.0255237,0.0356268,0.0826672,0.0457056,0,0.00216528,-0.130514,0.0689184,0.0767412,0.0151873,0.0485351,-0.274451,-0.0229902
-0.0290218,-0.0219732,0.00127348,-0.0676912,0.0186722,-0.00334251,0.0480695,-0.0445014,-0.00357021,0.0312382,0.0737319,-0.0371947,0.0944499,-0.0866299,-0.0417457,-0.0287064,-0.0485893,-0.0977633,0.242054,0.034781	-0.0184661,0.05153,0.067187,-0.0616829,0.0218522,-0.0553485,0.00356347,0.0259539,0.027885,-0.0605381,-0.0266054,-0.0510669,0.068695,-0.0841075,-0.115974,-0.14764,-0.105511,-0.185202,0.0594369,-0.124403	-0.0105613,-0.0734201,-0.0659191,-0.00603344,-0.00318134,0.0520156,0.0445136,-0.070374,-0.031452,0.0916031,0.100141,0.0138987,0.025923,-0.002541,0.0745891,0.11944,0.0572153,0.0890511,0.185283,0.158499
-0.0827044,-0.161529,-0.222707,-0.186382,-0.0271967,-0.103996,-0.0366636,-0.119961,-0.106474,-0.141108,-0.168668,-0.0802559,-0.0745078,-0.0584443,0.111246,0.0445185,-0.0219393,-0.12929,0.138905,0.0341832	-0.0742301,-0.0119869,-0.0980185,0.000673552,-0.0186109,-0.165927,0.033601,-0.0228245,-0.0138362,-0.0972574,-0.0713991,-0.0131424,-0.0246849,-0.0360757,0.0119507,-0.0909331,-0.159059,-0.178523,0.0987088,-0.144509	-0.00852655,-0.149832,-0.127471,-0.187032,-0.0085901,0.0630179,-0.0701782,-0.0974036,-0.0927748,-0.0444608,-0.0984546,-0.0671844,-0.0499148,-0.0224159,0.0994272,0.134905,0.1376,0.0503963,0.0407555,0.177814
0.0488804,0.0481256,0.127538,0.0549643,0.0568968,0.147229,0.0603236,0.0300995,0.0540579,0.217954,0.102919,0.00208582,0.00433426,0.0245823,0.342507,0.222158,0.104467,0.093086,-0.0950563,-0.0248568	0.0435391,0.0441975,0.120992,0.00318869,0.017396,0.12562,-0.0386576,0.0630583,-0.00506262,0.0431429,0.0831048,-0.0104458,0.0140032,0.120344,0.272305,0.152472,0.0127168,0.0574225,0.0961538,-0.00451707	0.0053526,0.00393647,0.00664853,0.0517847,0.0395399,0.0220162,0.0987508,-0.0330215,0.0591043,0.176471,0.0199847,0.0125313,-0.00966948,-0.0960462,0.0774231,0.0721297,0.0918721,0.0358551,-0.189478,-0.0203421
-0.0587388,-0.0279869,-0.0367127,-0.0966722,-0.027441,-0.0154851,0.0159114,-0.102572,-0.0605238,-0.00145402,0.0603434,-0.0868988,-0.0530194,-0.0307619,0.04,-0.118247,-0.313872,0.0755154,0.130435,0.0268997	-0.0306894,0.066729,0.0109579,-0.0954952,0.0122883,-0.101328,0.0314438,-0.01723,-0.00169693,-0.0178763,0.00521492,-0.0987068,-0.0695897,-0.168831,0.0397479,-0.124135,-0.331513,0.0389349,-0.251241,-0.159029	-0.0281001,-0.0945394,-0.0476515,-0.00118805,-0.0397159,0.0859782,-0.0155402,-0.085493,-0.0588329,0.0164227,0.0551458,0.0119101,0.0166316,0.13879,0.000252461,0.00597477,0.0196898,0.0366884,0.369565,0.185136
-0.0772856,-0.162327,-0.160551,-0.181435,-0.0716618,-0.132928,-0.0607002,-0.0905846,-0.115706,-0.160977,-0.130061,-0.126922,-0.0953634,0.0394604,0.123932,0.125099,-0.0487901,-0.0860266,-0.0275069,0.0338748	-0.0496683,0.00751611,-0.0443172,0.00157127,-0.025789,-0.226806,0.0651513,0.0260111,0.00310332,-0.0388901,0.00702988,-0.0703588,-0.0537908,-0.0734027,0.0928735,0.0957714,-0.135836,-0.0801244,-0.305288,-0.173293	-0.0277237,-0.169636,-0.117067,-0.182954,-0.0459577,0.0967965,-0.125356,-0.116322,-0.118767,-0.122856,-0.136965,-0.0570727,-0.041787,0.112537,0.0314198,0.0296834,0.0876262,-0.00594321,0.280133,0.205959
0.064424,0.100965,0.139082,0.0607174,0.171918,0.232737,0.116099,0.0987817,0.121556,0.206786,0.165287,0.12886,0.178674,0.148434,0.257908,0.383039,0.256769,0.144285,0.115551,-0.0599917	0.0761797,0.117839,0.1155,0.00431514,0.165017,0.175853,0.0682741,0.151747,0.0885819,0.0900492,0.181689,0.116797,0.189527,0.118387,0.248357,0.390431,0.191759,0.157845,0.0163767,-0.0602509	-0.0118137,-0.0170773,0.0239672,0.0564171,0.00710292,0.059311,0.0482073,-0.0537709,0.0333333,0.118952,-0.0169097,0.0122478,-0.0112341,0.0305847,0.0102041,-0.00869197,0.0683775,-0.013876,0.0993626,0.000260146
-0.0800204,-0.120279,-0.1683,-0.217862,-0.0835514,-0.125542,-0.110187,-0.138058,-0.155797,-0.210255,-0.192982,-0.158551,0.0556156,-0.156168,0.163786,0.0850249,0.0792438,0.157895,0.00959639,0.489176	-0.0825144,-0.0370577,-0.0981456,-0.0329828,-0.0783559,-0.135905,0.00514184,-0.106733,-0.0922698,-0.0488134,0.0212667,-0.0775144,0.15,-0.134123,0.121825,0.0419272,-0.0700173,0.231812,0.153127,0.447299	0.00251059,-0.0835939,-0.071333,-0.186217,-0.00522973,0.0105428,-0.115263,-0.0317938,-0.0644538,-0.163116,-0.213373,-0.0820448,-0.0951785,-0.0225162,0.0428154,0.0432519,0.148438,-0.0767252,-0.143742,0.0536059
0.0160239,0.0432178,0.0483445,-0.0587849,0.00655988,-0.0610766,0.0181329,-0.0694277,-0.0215122,0.0357503,0.00348533,-0.0939586,-0.119563,-0.218744,-0.0272432,-0.0800624,-0.210778,-0.0675491,-0.207662,-0.166471	0.000668717,-0.026617,-0.0176256,-0.115296,-0.036507,-0.0366437,-0.04479,-0.0951823,-0.106457,-0.0696517,0.0716501,-0.094843,-0.0917845,-0.124128,-0.0378529,-0.0635089,-0.268994,-0.0166065,0.102515,-0.00140944	0.0153553,0.0697545,0.0659139,0.0568963,0.0430566,-0.0244878,0.0628718,0.0259259,0.0851395,0.10514,-0.0681818,0.000892326,-0.0280868,-0.0972559,0.0106206,-0.0166381,0.0617157,-0.0509998,-0.303712,-0.1651
